kanji,nihongo,chinese
数,かず,數目
後,のち,之後
以後,いご,以後
以前,いぜん,以前
今後,こんご,今後
期間,きかん,期間
期限,きげん,期限
夜間,やかん,夜晚
深夜,しんや,深夜
未来,みらい,未來
数字,すうじ,數字
四角,しかく,四方形
奇数,きすう,奇數
偶数,ぐうすう,偶數
三角,さんかく,三角形
一列,いちれつ,一排
月末,げつまつ,月底
昨日,さくじつ,昨日
昨年,さくねん,去年
正午,しょうご,正午
先日,せんじつ,前幾天
前日,ぜんじつ,前一天
本年,ほんねん,今年
翌日,よくじつ,隔日
下旬,げじゅん,下旬
生前,せいぜん,生前
点数,てんすう,分數
分数,ぶんすう,分數
算数,さんすう,算數
整数,せいすう,整數
縦長,たてなが,長方形
本日,ほんじつ,本日
平日,へいじつ,平日
小数,しょうすう,小數
少数,しょうすう,少數
一生,いっしょう,一生
明年,みょうねん,明年
早朝,そうちょう,早晨
週末,しゅうまつ,周末
休日,きゅうじつ,假日
上旬,じょうじゅん,上旬
割り算,わりざん,除法
足し算,たしざん,加法
引き算,ひきざん,減法
掛け算,かけざん,乘法
真夜中,まよなか,半夜
一昨日,いっさくじつ,前天
一昨年,いっさくねん,前年
明後日,みょうごにち,後天
明後年,みょうごねん,後年
小数点,しょうすうてん,小數點
締め切り,しめきり,截止
生年月日,せいねんがっぴ,出生年月日
